start_date,mp_physics,ra_lw_physics,ra_sw_physics,sf_surface_physics,bl_pbl_physics,cu_physics,sf_sfclay_physics,fitness,runtime
Apr 19 2011,6,5,99,7,9,1,1,6.0219999999999996e+23,06h 00m 07s
May 23 2011,14,99,5,7,9,1,1,6.0219999999999996e+23,06h 00m 03s
Jan 20 2011,21,7,2,2,12,14,1,588.5209985850142,01h 13m 55s
May 18 2011,1,4,7,4,8,93,1,1935.5464082078859,01h 00m 11s
Oct 21 2011,11,4,3,4,12,14,1,576.9058535668419,03h 27m 58s
Jun 23 2011,4,7,2,5,12,5,1,6.0219999999999996e+23,06h 00m 04s
Feb 01 2011,21,5,2,2,12,14,1,960.7306030751204,01h 30m 40s
Dec 10 2011,11,4,4,4,12,5,1,536.9336364442127,02h 57m 31s
Sep 01 2011,1,5,1,1,8,14,1,837.7197381546517,00h 26m 25s
Jun 19 2011,4,5,2,5,12,14,1,1208.0392510457898,04h 49m 42s
Aug 25 2011,21,7,2,2,12,5,1,1074.1304129825144,00h 57m 00s
Nov 25 2011,21,7,2,2,12,14,1,861.746577660461,01h 32m 27s
Apr 05 2011,1,5,1,1,8,5,1,1724.8751926556763,00h 31m 35s
Aug 06 2011,21,7,2,2,12,14,1,992.5194411017167,01h 34m 07s
Apr 08 2011,21,7,2,2,12,14,1,986.2195226541935,01h 39m 36s
Sep 24 2011,8,24,2,5,12,5,1,769.4049018393886,04h 15m 35s
Jul 09 2011,11,4,3,4,8,14,1,946.8586887680146,03h 11m 16s
Feb 27 2011,4,5,2,5,12,14,1,953.4266943626646,03h 33m 25s
Dec 04 2011,21,7,2,2,12,5,1,914.869092532802,01h 38m 02s
Aug 03 2011,4,99,3,4,4,2,4,973.2613535253435,02h 19m 48s
May 14 2011,4,5,2,5,11,5,1,1194.652367047949,04h 34m 53s
Mar 05 2011,21,31,2,2,12,14,1,2112.7824083702817,01h 26m 45s
Jan 11 2011,10,7,99,5,9,10,1,744.9959781252553,05h 20m 05s
Jan 31 2011,4,5,4,5,12,5,1,745.0790998927182,03h 59m 35s
Dec 22 2011,4,5,2,5,12,5,1,722.8402016423643,04h 50m 35s
Oct 16 2011,11,4,4,4,12,14,1,995.7507585813729,03h 50m 57s
Jul 13 2011,21,7,2,2,12,14,1,1029.6629292723512,01h 35m 05s
May 18 2011,4,99,3,4,8,2,4,6.0219999999999996e+23,00h 00m 00s
